name,public_key,lat,lon
DE.BW.ES|myxi Zollberg,87b88e9c06d15a5b6312200d066d70b2e35a1eb55088061485e6c76c5d93ab27,48.7300410,9.3041470
DE.BW.FDS | Altheim,39469d7945dbfa27500f5b3a56e8785e2c7db3d111c09c945bb4474665cd05f8,48.4596300,8.6339100
DE.BW.GP Wangen,c00d71a90c7444986f90e67e93f5a9efa2d069700210cf70cdd40caa64aa8c8c,48.7325400,9.6055500
de.bw.ka-nw Binsen Rptr,7a22eb87b5b846f6708d7d61111ff69bcc6d83fdb0ba86f5ef6ab1c45c96691d,49.0262710,8.3662380
de.bw.ka.Pfinz,959ed23041cea1fa841114edaf60294c9584f68c77ae45e99ecd50a70f811b4e,49.0036300,8.4707100
de.bw.ka.Weiherfeld,74afdcbb1837f41eaf564ed5ea3b2e2bd513325c009d6702afb261739d5705e9,48.9829190,8.3909150
DE.BW.KEL Europa,6d7a7916e84224c6d645e73f900b106ab128bd8f8ab5e47aebb41ed07199a2fa,48.5475590,7.8363870
DE.BW.LB | BiBi2,929eea4abcb9c0ff33dfe899132e8bde3a61aa5a712b608ed27ea0762498d3d1,48.9640500,9.1301800
DE.BW.LB | Dtz Vit,a43e97861227e8895f9acdef599e25adca13ddf9d0eab0eda85ab99904bcec16,48.8328100,9.0616800
DE.BW.LB | Marbach 🥐,afdbadaf68e253e9adc3f64baa1913f7f8686e750913738d2a3764bd1521b243,48.9267200,9.2563400
DE.BW.LB | Sh,842c563ef67fc674ca3d26e9cf0ae14734a51a19b3ba89e72c79a5488dbfcf77,48.7860100,9.0636070
DE.BW.LB.Oberstenfeld2,6648d69492cc5fb3e144eefc898034c660b22c2ab8cdeadc04764353a4bf74ae,49.0178600,9.3249200
DE.BW.LB☆DL9SAD-Rep1,f7a93f556bfffbe018177eb83cbd4f2b52fea6229256237c249b04f8d2e25c4d,48.8713100,9.0819400
DE.BW.Oberkirch,1e03723b8d9be87e4a4362fe02ad1078d062239d7218af5ed377ca95fcdd5d6b,48.5218650,8.0870200
DE.BW.OG R#1 J,4cc5b7a2af13187d5e0abba747f036737ff8425e7e809a0e5c0173647f8fd5eb,48.4844200,7.9655690
DE.BW.OG Zell-Weierbach,6bb051b1b7bafa2aa101f0af1897beb131e238e28a54645a30fab2f084be321c,48.4731200,7.9840600
DE.BW.PF | Heimsheim-3,95caf034053a335ac588dd8116a46aa8c6e93ad92f63a3996c2b5314f8944348,48.8092030,8.8720320
DE.BW.PF | Wimsheim ASP,6636b0736b86d04c96c3cafa8e104f8b726c87e285b9ada644d217c3a36b141d,48.8450420,8.8261940
DE.BW.RT|WH Süd-Ost,9532440a007d230d74d8675da864cd98f7a29c32e23074635e798285085509c1,48.5961290,9.1904780
DE.BW.S | ChewG2 Garden,92aedf903614780b0c5713ef19abc6f463f5400e1f19ac65581d66142b15eb24,48.7984000,9.2378900
DE.BW.S | Milaneo,e61464c267e11b3f68648fd9b462ef194d3e9621e5a0b23eb2105b54691bb476,48.7909600,9.1820000
DE.BW.S | MK,9f90ca5f538f0fb79fe5c3399c1042f817cda3017f182ece9756751d17c91657,48.8137200,9.1215800
DE.BW.S | OTH,08ce6262babd7d05fe9de1455b86d85ae7621762a7ec71a3fbe1c3ea0aa5eaf5,48.7644840,9.2710300
DE.BW.SBH | Moenchweile,67a58ceba6273aed803c9f49038106e228ff5e6950d543a28f50efb033fffe9d,48.0997750,8.4247420
de.bw.str Bottwartal,a3ba9152586d8baca514132a0ad0f90307813c766b51ac0b7577811b26745d15,49.0403100,9.3466300
DE.BW.TUE | Starzach,e134df88496283013c8faa05fa560523baa6190b52bd8971e8630e9aff29f568,48.4300000,8.8360000
DE.BW.VS.DL1GEG,e375da31ac281f6618ad9864d29d6bfc22aa99bf62a9c700d18f93adbcbfb500,48.0680000,8.4632100
DE.BW.VS_Kandelaberfich,08a1bc67fd4d06c8c4332278d58c52fceefe4dbe3afcc14e69412fff36781698,48.0837700,8.2380300
DE.BW.VS_Steinhalde,b67ae07e09f72977c3598ac7bfb52f2fae0722c9cc6c149e01c803f2d901f575,48.1334530,8.2930420
DE.BW.VS_Stoecklewald,563cc6426006da5f4222ba7a9d6a751692524a907b89e38c6afa091afbb6b68e,48.0916150,8.2538140
DE.BW.Willstaett,32be3231becced122f65287dae5ca0da52d014e8fa356c536b9fa0ffd09a122d,48.5397180,7.9027800
DE.BW.WN PLUE VKB,30d68159b2a5c2b6913b3fc0d9f4a409613e9ae3e16d354cfc804ceb62e4c27f,48.7910800,9.5985090
DE.BW.WN.ALF.BX,64c4ce23b59a45e6d4bdcc22e40b3c76b91fb990f42080a811ed1cb2c85dec06,48.8443070,9.7326860
DE.BW.ZAK | DFS,d6dddddd94717cf69ddc3d880a3b0ee06cc2cc4d769608dfb0d926ad0b4dc623,48.3652950,9.0635480
de.he.da 1 reewaale.net,bf06e6ca3c02742ea09229fbf129b3a8282d7bc6ec93cb09686e492ec857e299,49.8770350,8.6558950
de.he.da 2 reewaale.net,bc7f0ebbc7f77e1deb0c47bfc46f4ed10f363ff97c0818cee6f18e86f56b154a,49.8691090,8.6526910
de.he.fb-reichelsheim02,02d5afa74db338654b59af75bc197fa76a3e9361606ba35409194cfd53426be2,50.3617600,8.8888700
DE.HE.OF# NIB-1 01,bb2af7c7209568f168f79fb3fcae8752553e435d6dac8b7714b39768078d0306,50.0489400,8.7098200
DE.HE.OF# NIB-1 02,d82c104b22976945cbf1b36fcb05aac65ef6dee9c7915728c74f8838361105f4,50.0520600,8.6908700
DE.MKK.63584.SolR01Y,30b59539b21cfe116031f923aca3f8e22a3d92a4e798a74f6d2e50982248795e,50.2121200,9.1128700
DE.RLP.LU-MM-Solar-RPT1,85763eea884a691078e0e8e904ce733f6e560acea8fd6c17ec93d9a96d6110b1,49.5073760,8.3852290
DE.RLP.LU-MM-Solar-RPT3,439e3020f3c2710e52e194edb3859c2d863b899e7006ca2d00cce694abf45b2d,49.5140490,8.4052500
de.rp.ger.Maximiliansau,c02a10661417969f0f49e91a5acb55ee33e65659c7034779cde27ee6add956f6,49.0330770,8.2907820
DE.RP.LU-ALO-Solar-RPT,8fa3338714f0bc07efc82d9d484c7c8168368a91259dcbe49d862d14ae67254d,49.5037240,8.3851280
DE61118-TMS-Repeat,6cc73cd61803e5994d9a280fc57b96303f541050afee8f21ce32b04bd7ecba17,50.1896900,8.7569900
DE_KO_H@x0r_Gauß,f07bfd0abe0a07b8b49745409ed937a523cb268b281828a466feaf007e7e4741,50.3561400,7.5813190
DF4IAF Repeater,4edb27414deda9479162d4c5cab2dccf20746aea35d09a869fad27b4a449b260,49.2229540,8.6554450
DG6SK-06 ❤️,50cc281485e0df8e356fc26dd639cf0cc021616cfc0d19203801735ec27cf9c3,48.4010700,9.9687200
DH2ID_Repeater,acad1ddebc60dcaf802dcdc793be25fd6fbe7bdd05e70912f74942455ff92365,49.0030100,8.4154100
DH4HAV-Repeater2,4f5a3c6c9486d58a1e1460829df0f419a7fe20fbafbc9f4b8e69f72ccb8d1e22,47.6487300,7.8191800
Digitalwire Rptr,99c47e8e5de6e85130c2166402eef6268c20cb34234c9ebe7fd1750f1fb28410,47.5099800,7.5965800
DJ1PW/1 Solar,4dda2b222de7c678e51f189569698025bfa044b9dd8b3cf99f2267e0dbbccf1d,49.2667500,8.6028000
DJ4UL 🌎 KA-Rüppurr,a3939829c1ac85cb9011f78e0c4023a59823a25b9e43509a0fdb1ff916aec26f,48.9760750,8.4077920
DJ4UL 🌎 Rüppurr SW,195819f5d86a0e385314bf5dd38a306baa4f827b626d00d3b231d7ec9f871933,48.9759900,8.4076490
DJ5IN<💢>KA-Neureut,8952b1c02cb318c9e83da4790d5d349b75f4071815c7e8e1e6a489b0da9e2074,49.0465730,8.3784580
DK0FR Repeater,ac4cfb1872dcdd1a961ec98fe5d5f7df8295513c1d607aab611e9af38d0e02e4,48.0194000,7.8384000
DK1BB-RPT-1,85582e026c53e087bb864b75a53237a9a712e8d19d0374286a110c05dbe784bd,49.5047200,8.3771000
DK1BB-RPT-2,a9145f488c30c61422c825d1ee9f88c845948dadbedfec5af03880df25e5c5d3,49.4589950,8.3791400
DK1BB-RPT-3,eef391549943da51a702635fea9a4d65f02cba04b8df4f64a0fdaa0656e1b526,49.4981460,8.4112980
DL0FFM,12ccc5762b4f8625e7801b072684a47a7ba5fc78040dea6bc00f4ee4a04fc113,50.1295240,8.8584000
DL0FIS-Rpt-B,1935e1c51713dd56aba455c9b0c033a7def84b381a4695017635ea6f883aea72,48.0417200,8.1695700
DL0TRZ Trutzturm Solar,b8bf07134b0d34205ee76efdb9093706167ebf498a23a9080139c69c2470caf2,49.8527800,8.3372020
DM5WO-Repeater,db68b00e0bbff8b26e193bb77cc1d1a039e2684ad575494ebbf58dbff9d57afa,49.0180890,8.4489240
DO1ABB Solar Repeater,6219b7124ac20e58149768c6f6ba91aa034f1cdd71c24040bae4c21b9135510f,49.0063220,8.3767330
Dobel Repeater FFNSW,5ddeed574759b46163a3d149abf8fc492a92af5e134c82a9ff4cffb51d6ae926,48.7992990,8.4953790
Donnersberg-NO,99bb19916354fe47f8185cb76f7cb6350445d35b5cacc926c5c83a531c89baa4,49.6244580,7.9187720
Donnersberg-SW,9996dd77b140b168a80c11640c3f52f37a9975ebfed2847690e43770b8ab52ef,49.6244500,7.9185700
Dossenheim_Repeat,c0b2a059dcc458ed1e3b0c4e4b04c57ea501c232782cdeff704b9ab678bc64c6,49.4440000,8.6810000
Ebb KA-Mesh.de,bccf77804a12eb75e16505369ce5a73150ef2558ed4ff82b3c917a53aa84192c,48.9428250,8.6133330
Ettlingen-Ost DL1ESC,7c6fd14a0128411669ff5fbd483e5c9b0f853c28d26ca64801866839ab7ba91e,48.9521590,8.4235090
ExRep,214168864b0fa443f2796a064de22c494afca23c29a338187f61b084a47c3c39,47.0937140,7.7394360
F10,7420522cb500f0c81e049254836647f9926c7da8962a713dd588ad456baa2e6c,48.7862500,9.1788200
F38-R-Alzenau,3c53d27fbd77e2e34930bfc62960539fb77c2b90ed6a4d7f7c22f7effbacd31d,50.0750600,9.0737500
F38-R-Alzenau-Kälberau,57119c0b681483ab2875cbc5e471e77ba506d1bbfffe4269dfb904da7b4ce5c5,50.0938000,9.0862000
F38-R-Dietzenbach,298d5f8e769db09af92383151cb63916a606bfe6890e34261ee3f7ed0d13f057,50.0057840,8.7730330
F38-R-Hainburg,ef747fc075d3ff2e657ce7972b87291c0e1014e852d90e642891303297869f41,50.0790060,8.9408490
F38-R-Rodgau-Dudenhofen,5cde1415e30c182d174ade3e93da3a136e714d3af78f9b18de03bfc51f22d76c,50.0052900,8.8830400
F38-R-Rodgau-Dudenhofen,8813a70c816c58a55dc6f933c1086e7c61d98f91eb49df56c293a44d8e350d5e,50.0052840,8.8832580
F38-R-Zellhausen,84bff8c91a718c7ad9ad6b4ef7ec3cd573915ba2c009a04fd9327af18779abac,50.0107900,8.9925000
FBMC-Repeater,c4eb39a96623a24e4b59fcb2742bae9857399d932b064b4f393643ce2ea652dc,50.0552320,8.7046710
Feuerbach 1 Rep,c96888573517630050f501a8fce3254fcf59f4058d5fb19e03bd121f0963807f,48.8182650,9.1497040
Forst Repeater,b660d2f5558806aac59f19ef29d0bc9a2da9f67003eea045bc374f56e79e4a29,49.1585300,8.5827800
FR21DIJO-NOnoR01,ee8956d765ce219ca83604b244c9bd1f91de84b12f8594207bdf44a9b450f3aa,47.3241870,4.9859880
FR25-LesFourgs-EWI,e3e86b0ab7721b496bc232436e3c737c0edec0644f10024330eb086839a5568b,46.8163400,6.4055300
FR25LAVI RPT1,1a4e5090779239ab11ff42c83f9d1a7545cd150e1f3ecdfe867d72b27de39c7d,47.2612940,6.5504190
FR67 yagi8 dir.,b639c2a22e5a2b3e47b53020464eb74b8b3142b4785068fe55d9bc0917fc09d5,48.8319580,8.0260690
FR67_Observer,9d3768929536e9c12dd5f24b4fb09ebc7495d61b589eb90a5bfc89d943c983b4,48.8432300,8.0122590
FR68-Gondor,88a7145fcfb0cfe2a3332456c43a568db247bb764da4c85c0474545a691345d4,47.7539370,7.3900950
FR68-Illidan,b0a30b56916a740952edbd86b863f4b367c07fda23c13e04e9f76f3e675630d2,47.7864000,7.5130800
Freisen 595,348286504d362e8efa97ba9c3b3ac2272e9568e6167d1af31fcb3a1bf1f31128,49.5528750,7.3003240
Grezzingen 🌞berausst,6b3da6cc7cf5ac4084c868dfb223ada71e1c6e67a974353e2e51b00a88fcbfe8,49.0049000,8.5034000
Grosskrotzenburg - RP01,c6aca05cd4cf2e8ec80a446991189c0050c837c90130a3af5ba51a2d309c529b,50.0862990,8.9920300
Hagsfeld Repeater,025d0a123e4b12a3e5aa42730600e0f80a5b54256bca8dd9fd4defb4c0ace676,49.0329090,8.4601860
Hausach🌲 Repeater3,2c1d6ba6a0f251034bee2dbb89538f9c3d6e52506da84fdb39a8dd8886de600e,48.2720130,8.1121760
